C:\Aditya\DOX\DL\Data\IMG\center_2019_08_08_19_35_23_789.jpg, C:\Aditya\DOX\DL\Data\IMG\left_2019_08_08_19_35_23_789.jpg, C:\Aditya\DOX\DL\Data\IMG\right_2019_08_08_19_35_23_789.jpg, 0, 0, 0, 7.867267E-05
C:\Aditya\DOX\DL\Data\IMG\center_2019_08_08_19_35_23_896.jpg, C:\Aditya\DOX\DL\Data\IMG\left_2019_08_08_19_35_23_896.jpg, C:\Aditya\DOX\DL\Data\IMG\right_2019_08_08_19_35_23_896.jpg, 0, 0, 0, 7.802463E-05
C:\Aditya\DOX\DL\Data\IMG\center_2019_08_08_19_35_23_997.jpg, C:\Aditya\DOX\DL\Data\IMG\left_2019_08_08_19_35_23_997.jpg, C:\Aditya\DOX\DL\Data\IMG\right_2019_08_08_19_35_23_997.jpg, 0, 0, 0, 7.987103E-05
C:\Aditya\DOX\DL\Data\IMG\center_2019_08_08_19_35_24_098.jpg, C:\Aditya\DOX\DL\Data\IMG\left_2019_08_08_19_35_24_098.jpg, C:\Aditya\DOX\DL\Data\IMG\right_2019_08_08_19_35_24_098.jpg, 0, 0, 0, 7.845752E-05
C:\Aditya\DOX\DL\Data\IMG\center_2019_08_08_19_35_24_199.jpg, C:\Aditya\DOX\DL\Data\IMG\left_2019_08_08_19_35_24_199.jpg, C:\Aditya\DOX\DL\Data\IMG\right_2019_08_08_19_35_24_199.jpg, 0, 0, 0, 7.82405E-05
C:\Aditya\DOX\DL\Data\IMG\center_2019_08_08_19_35_24_300.jpg, C:\Aditya\DOX\DL\Data\IMG\left_2019_08_08_19_35_24_300.jpg, C:\Aditya\DOX\DL\Data\IMG\right_2019_08_08_19_35_24_300.jpg, 0, 0, 0, 7.928644E-05
C:\Aditya\DOX\DL\Data\IMG\center_2019_08_08_19_35_24_404.jpg, C:\Aditya\DOX\DL\Data\IMG\left_2019_08_08_19_35_24_404.jpg, C:\Aditya\DOX\DL\Data\IMG\right_2019_08_08_19_35_24_404.jpg, 0, 0, 0, 8.025763E-05
C:\Aditya\DOX\DL\Data\IMG\center_2019_08_08_19_35_24_506.jpg, C:\Aditya\DOX\DL\Data\IMG\left_2019_08_08_19_35_24_506.jpg, C:\Aditya\DOX\DL\Data\IMG\right_2019_08_08_19_35_24_506.jpg, 0, 0, 0, 7.874802E-05
C:\Aditya\DOX\DL\Data\IMG\center_2019_08_08_19_35_24_607.jpg, C:\Aditya\DOX\DL\Data\IMG\left_2019_08_08_19_35_24_607.jpg, C:\Aditya\DOX\DL\Data\IMG\right_2019_08_08_19_35_24_607.jpg, 0, 0, 0, 7.775228E-05
C:\Aditya\DOX\DL\Data\IMG\center_2019_08_08_19_35_24_709.jpg, C:\Aditya\DOX\DL\Data\IMG\left_2019_08_08_19_35_24_709.jpg, C:\Aditya\DOX\DL\Data\IMG\right_2019_08_08_19_35_24_709.jpg, 0, 0, 0, 7.87468E-05
